codCurso,Curso,Vagas,codInst
9853,Educação Básica,48,24,48,1000
9869,Contabilidade (regime pós-laboral),40,42,40,1000
G001,Engenharia e Gestão de Sistemas de Informação,110,110,110,1000
G002,Engenharia e Gestão de Sistemas de Informação (regime pós-laboral),30,30,30,1000
G005,Engenharia Informática,170,170,170,1000
G007,Engenharia de Telecomunicações e Informática,38,38,38,1000
L078,Criminologia e Justiça Criminal,33,33,33,1000
L112,Proteção Civil e Gestão do Território,30,7,30,1000
L147,Estudos Orientais: Estudos Chineses e Japoneses,35,36,35,1000
9554,Ciências da Nutrição,65,65,65,1101
9257,Arquitetura,117,117,117,1102
8258,Arquitetura Paisagista,28,28,28,1103
9011,Biologia,131,132,131,1103
9015,Bioquímica,80,80,80,1103
9141,Física,41,41,41,1103
9146,Geologia,33,33,33,1103
9209,Matemática,56,56,56,1103
9223,Química,50,50,50,1103
9368,Engenharia Física,60,60,60,1103
9696,Ciência de Computadores,50,50,50,1103
9709,Ciências e Tecnologia do Ambiente,42,42,42,1103
9812,Engenharia de Redes e Sistemas Informáticos,70,71,70,1103
9824,Ciências de Engenharia,28,11,28,1103
9081,Economia,208,208,208,1104
9147,Gestão,115,115,115,1104
9360,Engenharia Civil,121,121,121,1105
9367,Engenharia Eletrotécnica e de Computadores,200,200,200,1105
9369,Engenharia Mecânica,151,151,151,1105
9459,Engenharia Informática e Computação,117,117,117,1105
9460,Engenharia Metalúrgica e de Materiais,28,28,28,1105
9461,Engenharia Química,63,63,63,1105
9493,Bioengenharia,58,59,58,1105
9508,Engenharia do Ambiente,34,34,34,1105
9509,Engenharia e Gestão Industrial,65,67,65,1105
9897,Ciências de Engenharia - Engenharia de Minas e Geoambiente,20,18,20,1105
9494,Ciências Farmacêuticas,175,175,175,1106
9006,Arqueologia,29,29,29,1107
9040,Ciências da Linguagem,24,24,24,1107
9139,Filosofia,50,52,50,1107
9143,Geografia,69,70,69,1107
9181,História,67,67,67,1107
9182,História da Arte,32,32,32,1107
9192,Línguas Aplicadas,51,51,51,1107
9197,Línguas e Relações Internacionais,41,42,41,1107
9204,"Línguas, Literaturas e Culturas",79,81,79,1107
9240,Sociologia,44,44,44,1107
9694,Ciência da Informação,38,38,38,1107
9701,"Ciências da Comunicação: Jornalismo, Assessoria, Multimédia",74,74,74,1107
9917,Estudos Portugueses,20,20,20,1107
9813,Medicina,245,245,245,1108
9026,Ciências da Educação,50,50,50,1109
9555,Psicologia,107,107,107,1109
