codInst,codCurso,Inst,Curso,Grau,Vagas,Colocados,Nota,Sobras
0602,9015,Universidade de Évora - Escola de Ciências e Tecnologia,Bioquímica,L1,37,37,125.1,0
0602,9016,Universidade de Évora - Escola de Ciências e Tecnologia,Biotecnologia,L1,25,26,120.7,0
0602,9104,Universidade de Évora - Escola de Ciências e Tecnologia,Engenharia e Gestão Industrial,L1,22,3,140.4,19
0602,9119,Universidade de Évora - Escola de Ciências e Tecnologia,Engenharia Informática,L1,57,57,133.9,0
0602,9143,Universidade de Évora - Escola de Ciências e Tecnologia,Geografia,L1,28,32,116.8,0
0602,9210,Universidade de Évora - Escola de Ciências e Tecnologia,Matemática Aplicada à Economia e à Gestão,L1,40,29,113.9,11
0602,9707,Universidade de Évora - Escola de Ciências e Tecnologia,Ciências do Desporto,L1,52,52,137.1,0
0602,9751,Universidade de Évora - Escola de Ciências e Tecnologia,Engenharia Mecatrónica,L1,40,29,107.9,11
0602,9752,Universidade de Évora - Escola de Ciências e Tecnologia,Enologia,L1,10,10,127.9,0
0602,9818,Universidade de Évora - Escola de Ciências e Tecnologia,Ciência e Tecnologia Animal,L1,35,36,133.4,0
0602,9841,Universidade de Évora - Escola de Ciências e Tecnologia,Reabilitação Psicomotora,L1,25,27,135.6,0
0602,9847,Universidade de Évora - Escola de Ciências e Tecnologia,Medicina Veterinária,MI,55,55,165.8,0
0602,9910,Universidade de Évora - Escola de Ciências e Tecnologia,Engenharia de Energias Renováveis,L1,20,3,126.1,17
0602,L090,Universidade de Évora - Escola de Ciências e Tecnologia,Ecologia e Ambiente,L1,20,5,120.2,15
0603,9069,Universidade de Évora - Escola de Artes,Design,L1,39,39,147.9,0
0603,9243,Universidade de Évora - Escola de Artes,Teatro,L1,24,24,125.3,0
0603,9257,Universidade de Évora - Escola de Artes,Arquitetura,MI,42,42,135.7,0
0603,9347,Universidade de Évora - Escola de Artes,Artes Plásticas e Multimédia,L1,45,31,122.7,14
0604,8251,Universidade de Évora - Escola de Ciências Sociais,História e Arqueologia,L1,37,37,124.4,0
0604,9026,Universidade de Évora - Escola de Ciências Sociais,Ciências da Educação,L1,30,30,128.3,0
0604,9081,Universidade de Évora - Escola de Ciências Sociais,Economia,L1,42,42,132.9,0
0604,9147,Universidade de Évora - Escola de Ciências Sociais,Gestão,L1,69,69,146.4,0
0604,9219,Universidade de Évora - Escola de Ciências Sociais,Psicologia,L1,52,53,153.7,0
0604,9229,Universidade de Évora - Escola de Ciências Sociais,Relações Internacionais,L1,60,64,148.8,0
0604,9240,Universidade de Évora - Escola de Ciências Sociais,Sociologia,L1,44,48,128.8,0
0604,9254,Universidade de Évora - Escola de Ciências Sociais,Turismo,L1,39,41,129.5,0
0604,9787,Universidade de Évora - Escola de Ciências Sociais,Património Cultural,L1,26,18,110.4,8
0604,9853,Universidade de Évora - Escola de Ciências Sociais,Educação Básica,L1,22,16,114.9,6
0604,L047,Universidade de Évora - Escola de Ciências Sociais,Línguas e Literaturas,L1,50,50,120.6,0
0901,9554,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,Ciências da Nutrição,L1,20,20,170.3,0
