;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
ids;Código Curso;Nome do Curso;Vagas Iniciais;Colocados ;Vagas;Ano;Código Instit.;
255;9240;Sociologia;57;59;59;2018;1000;
256;9243;Teatro;25;25;25;2018;1000;
257;9257;Arquitetura;55;56;56;2018;1000;
258;9353;Educação;47;48;48;2018;1000;
259;9358;Engenharia Biológica;42;42;42;2018;1000;
260;9359;Engenharia Biomédica;65;65;65;2018;1000;
261;9360;Engenharia Civil;36;33;36;2018;1000;
262;9363;Engenharia de Materiais;27;27;27;2018;1000;
263;9364;Engenharia de Polímeros;30;30;30;2018;1000;
264;9366;Engenharia Eletrónica Industrial e Computadores;87;87;87;2018;1000;
265;9368;Engenharia Física;33;33;33;2018;1000;
266;9369;Engenharia Mecânica;82;82;82;2018;1000;
267;9371;Engenharia Têxtil;30;22;30;2018;1000;
268;9379;Ciências do Ambiente;35;35;35;2018;1000;
269;9381;Estatística Aplicada;22;22;22;2018;1000;
270;9397;Ciências da Computação;66;66;66;2018;1000;
271;9499;Design e Marketing de Moda;30;30;30;2018;1000;
272;9509;Engenharia e Gestão Industrial;53;53;53;2018;1000;
273;9555;Psicologia;65;65;65;2018;1000;
274;9688;Biologia Aplicada;55;55;55;2018;1000;
275;9813;Medicina;120;120;120;2018;1000;
276;9817;Artes Visuais;25;25;25;2018;1000;
277;9853;Educação Básica;48;24;48;2018;1000;
278;9869;Contabilidade (regime pós-laboral);40;42;42;2018;1000;
279;G001;Engenharia e Gestão de Sistemas de Informação;110;110;110;2018;1000;
280;G002;Engenharia e Gestão de Sistemas de Informação (regime pós-laboral);30;30;30;2018;1000;
281;G005;Engenharia Informática;170;170;170;2018;1000;
282;G007;Engenharia de Telecomunicações e Informática;38;38;38;2018;1000;
283;L078;Criminologia e Justiça Criminal;33;33;33;2018;1000;
284;L112;Proteção Civil e Gestão do Território;30;7;30;2018;1000;
285;L147;Estudos Orientais: Estudos Chineses e Japoneses;35;36;36;2018;1000;
286;9554;Ciências da Nutrição;65;65;65;2018;1101;
287;9257;Arquitetura;117;117;117;2018;1102;
288;8258;Arquitetura Paisagista;28;28;28;2018;1103;
289;9011;Biologia;131;132;132;2018;1103;
290;9015;Bioquímica;80;80;80;2018;1103;
291;9141;Física;41;41;41;2018;1103;
292;9146;Geologia;33;33;33;2018;1103;
293;9209;Matemática;56;56;56;2018;1103;
294;9223;Química;50;50;50;2018;1103;
295;9368;Engenharia Física;60;60;60;2018;1103;
296;9696;Ciência de Computadores;50;50;50;2018;1103;
297;9709;Ciências e Tecnologia do Ambiente;42;42;42;2018;1103;
298;9812;Engenharia de Redes e Sistemas Informáticos;70;71;71;2018;1103;
299;9824;Ciências de Engenharia;28;11;28;2018;1103;
300;9081;Economia;208;208;208;2018;1104;
301;9147;Gestão;115;115;115;2018;1104;
302;9360;Engenharia Civil;121;121;121;2018;1105;
303;9367;Engenharia Eletrotécnica e de Computadores;200;200;200;2018;1105;
304;9369;Engenharia Mecânica;151;151;151;2018;1105;
305;9459;Engenharia Informática e Computação;117;117;117;2018;1105;
306;9460;Engenharia Metalúrgica e de Materiais;28;28;28;2018;1105;
307;9461;Engenharia Química;63;63;63;2018;1105;
308;9493;Bioengenharia;58;59;59;2018;1105;
309;9508;Engenharia do Ambiente;34;34;34;2018;1105;
310;9509;Engenharia e Gestão Industrial;65;67;67;2018;1105;
311;9897;Ciências de Engenharia - Engenharia de Minas e Geoambiente;20;18;20;2018;1105;
312;9494;Ciências Farmacêuticas;175;175;175;2018;1106;
313;9006;Arqueologia;29;29;29;2018;1107;
314;9040;Ciências da Linguagem;24;24;24;2018;1107;
315;9139;Filosofia;50;52;52;2018;1107;
316;9143;Geografia;69;70;70;2018;1107;
317;9181;História;67;67;67;2018;1107;
318;9182;História da Arte;32;32;32;2018;1107;
319;9192;Línguas Aplicadas;51;51;51;2018;1107;
320;9197;Línguas e Relações Internacionais;41;42;42;2018;1107;
321;9204;Línguas, Literaturas e Culturas;79;81;81;2018;1107;
322;9240;Sociologia;44;44;44;2018;1107;
323;9694;Ciência da Informação;38;38;38;2018;1107;
324;9701;Ciências da Comunicação: Jornalismo, Assessoria, Multimédia;74;74;74;2018;1107;
325;9917;Estudos Portugueses;20;20;20;2018;1107;
326;9813;Medicina;245;245;245;2018;1108;
327;9026;Ciências da Educação;50;50;50;2018;1109;
328;9555;Psicologia;107;107;107;2018;1109;
329;9708;Ciências do Meio Aquático;33;33;33;2018;1110;
330;9813;Medicina;155;155;155;2018;1110;
331;9847;Medicina Veterinária;56;56;56;2018;1110;
332;9707;Ciências do Desporto;123;124;124;2018;1111;
333;9548;Medicina Dentária;65;66;66;2018;1113;
334;9066;Criminologia;41;41;41;2018;1114;
335;9078;Direito;146;146;146;2018;1114;
336;8258;Arquitetura Paisagista;12;3;12;2018;1201;
337;9086;Engenharia Agronómica;34;12;34;2018;1201;
338;9114;Engenharia Florestal;20;2;20;2018;1201;
339;9129;Engenharia Zootécnica;32;32;32;2018;1201;
340;9752;Enologia;42;23;42;2018;1201;
341;9847;Medicina Veterinária;82;82;82;2018;1201;
342;9023;Ciências da Comunicação;60;62;62;2018;1202;
343;9081;Economia;40;40;40;2018;1202;
344;9147;Gestão;54;54;54;2018;1202;
345;9196;Línguas e Relações Empresariais;40;42;42;2018;1202;
346;9204;Línguas, Literaturas e Culturas;35;35;35;2018;1202;
347;9219;Psicologia;60;60;60;2018;1202;
348;9238;Serviço Social;44;44;44;2018;1202;
349;9254;Turismo;49;50;50;2018;1202;
350;9803;Teatro e Artes Performativas;25;21;25;2018;1202;
351;9853;Educação Básica;25;12;25;2018;1202;
352;L092;Animação Cultural e Comunitária;30;30;30;2018;1202;
353;8088;Engenharia e Gestão Industrial (Preparatórios);20;20;20;2018;1203;
354;9052;Comunicação e Multimédia;54;55;55;2018;1203;
355;9089;Engenharia Civil;14;1;14;2018;1203;
356;9119;Engenharia Informática;105;105;105;2018;1203;
357;9123;Engenharia Mecânica;27;27;27;2018;1203;
358;9367;Engenharia Eletrotécnica e de Computadores;38;16;38;2018;1203;
359;9455;Engenharia Biomédica;25;22;25;2018;1203;
360;9011;Biologia;30;30;30;2018;1204;
361;9012;Biologia e Geologia;12;7;12;2018;1204;
362;9015;Bioquímica;50;50;50;2018;1204;
363;9379;Ciências do Ambiente;20;14;20;2018;1204;
